Story Id,Story Name,Marked on Panel,RERA Number,
1012,Belmac Residences - New Kalyani Nagar,None,P52100020497,
1012,Belmac Residences - New Kalyani Nagar,None,P52100018437,
1012,Belmac Residences - New Kalyani Nagar,None,P52100013991,
74,Beverly Hills,None,P51800001980,
77,Beverly Hills - Andheri East,None,P51800001980,
758,Bhattad Sankalp - Bhuleshwar,None,P51900021085,
787,Bhavisha Bentley Greens - Sarjapura Road,None,PRM/KA/RERA/1251/308/PR/210928/004315,
111,Bhoomi Acres - Waghbill - Thane West,None,P51700020184,
131,Bhoomi Samarth - Goregaon East	,None,P51800026289,
952,Birla Navya - Sector 63,None,RC/REP/HARERA/GGM/390/122/2020/06,
1086,Blancora - Ulwe ,None,P52000025001,
1085,Blancora - Ulwe ,None,P52000025001,
262,Bliss Solitaire - Undri	,None,P52100026322,
62,"Bloomville, Hinjewadi",None,P52100020688,
680,Blossom Residency - Vile Parle East,None,P51800028538,
309,Bluegrass Residences - Kalyani Nagar,None,P52100018091,
309,Bluegrass Residences - Kalyani Nagar,None,P52100024441,
676,Bluejay Uttar - Devanahalli,None,PRM/KA/RERA/1250/303/PR/200211/003265,
102,Blumen - Vikhroli West,None,P51800013365,
750,Bollineni Astra - Kogilu,None,PRM/KA/RERA/1251/309/PR/190614/002619,
1424,Boulevard Commerz - Sus,None,P52100021251,
697,Bramha SkyCity - Dhanori,None,P52100029056,
724,Bramha SkyUzuri - Pimpri,None,P52100006447,
333,Brand Square - Pimple Saudagar,None,P52100003247,
818,Bren Northern Lights - Jakkur,None,PRM/KA/RERA/1251/309/PR/190207/002365,
286,Brookefield Willows - Pisoli,None,P52100028570,
189,Business Bay - Oshiwara,None,P51800031563,
651,Canvas & Cove - Hosur Main Road,None,PRM/KA/RERA/1251/310/PR/200702/003480,
85,Canvas Residency - Sewree,None,P51900026182,
1129,Cardinal One - Yeshwanthpur,None,PRM/KA/RERA/1251/309/PR/190314/002489,
541,Carmel Heights by Incor - HSR Layout,None,PRM/KA/RERA/1251/446/PR/180924/002016,
671,Casa Grand Orlena - HBR Layout,None,PRM/KA/RERA/1251/446/PR/210928/004324,
1036,Cascade Avenue - Thane West ,None,P51700033736,
932,CD GuruDev - Virar West,None,P99000029320,
728,Celebrity Prime Eco Front - Jigani,None,PRM/KA/RERA/1251/310/PR/171031/001743,
495,Celestial City phase 2 - Ravet,None,P52100022487,
219,Celestial Living - Dahisar East,None,P51800028969,
517,Central Park - Vikhroli East,None,P51800033540,
1035,Centrico - Malad West ,None,P51800008480,
670,CG Boulevard - Hennur Main Road		,None,PRM/KA/RERA/1251/446/PR/201001/003629,
937,Chaitanya Nishigandh - Dadar West,None,P51900034202,
936,Chaitanya Shreyas - Andheri West,None,P51800035185,
198,Charms Global City - Ambernath East,None,P51700021983,
193,Codename Golden Square - Kalyan Bhiwandi J,None,P51700018908,
638,Codename Levelup Thane - Thane,None,P51700034042,
134,Codename Livin Greens - Borivali East		,None,PA51800024674,
51,Codename Mountain View,None,P51700024060,
756,Codename Pehla Ghar - Taloja,None,P52000031129,
362,Codename Pride of 90 feet - Ghatkopar East,None,P51800032084,
946,Codename Smart Choice - Ghatkopar East,None,P51800045613,
838,Codename West Wind - Goregaon West,None,P51800030389,
37,Codename winwin,None,P51800019950,
627,Codename Zen - Ghatkopar East,None,P51800003201,
627,Codename Zen - Ghatkopar East,None,P51800003446,
627,Codename Zen - Ghatkopar East,None,P51800006139,
487,CoEvolve Northern Star,None,PRM/KA/RERA/1251/309/PR/170916/000151,
1043,Concorde Abode 99 - Sarjapur,None,PRM/KA/RERA/1251/310/PR/210302/003983,
1045,Concorde Hill Crest  - Bengaluru ,None,PRM/KA/RERA/1254/460/PR/180521/001784,
1044,Concorde Spring Meadows - Bengaluru,None,PRM/KA/RERA/1251/309/PR/180227/002657,
514,Continental Heights - Mazgaon,None,P51900007187,
720,Continental Heights - Mazgaon			,None,P51900007187,
89,Cornerstone - Worli,None,P51900005370,
732,Cornerstone Akhinta Residences - BTM Layout,None,PRN/KA/RERA/1251/310/PR/130422/004834,
563,Corporate Annexe - Goregaon East,None,P51800030989,
67,Countdown X,None,P51800026905,
630,Dada Maharaj Heights - Girgaon East,None,P51900013974,
557,Daisy Gardens - Ambernath,None,P51700005390,
751,Datta Ramanand - Vile Parle East,None,P51800001236,
811,Dattani Vertex and Dattani Linear - Vasai West,None,P99000027866,
811,Dattani Vertex and Dattani Linear - Vasai West,None,P99000027867,
811,Dattani Vertex and Dattani Linear - Vasai West,None,P99000027870,
884,Deep Sky - Vasai East,None,P99000032622,
1001,Definer Hi-Life - Maragondanahalli Main road,None,PRM/KA/RERA/1251/309/PR/171015/000578,
1065,Desai Golden Springs - Whitefield ,None,PRM/KA/RERA/1251/446/PR/200817/003548,
104,Desire - Dadar West,None,P51900017691,
435,Devi Sadan - Matunga East,None,P51900023412,
897,Dhiraan Urban Forest - Chandapura,None,PRM/KA/RERA/1251/308/PR/250222/004735,
778,Dinaco Darshan - Dahisar West,None,P51800032422,
918,Divine Heights - Diva East,None,P51700019573,
158,Divum - Goregaon East,None,P51800018784,
752,DNR Casablanca - Mahadevapura,None,KA/RERA/PR/KN/170902/001978,
456,DNR Highline - Rajajinagar,None,PRM/KA/RERA/1251/309/PR/22018/004647,
754,DNR Spring Leaf - Koramangala,None,PRM/KA/RERA/1251/310/PR/190222/00244,
108,Domain - Govandi West,None,P51800023311,
963,Dotom Isle - Malad West,None,P51800013105,
963,Dotom Isle - Malad West,None,P51800031765,
480,DP Star - Bhandup West,None,P51800003937,
480,DP Star - Bhandup West,None,P51800003937,
480,DP Star - Bhandup West,None,P51800004550,
875,Dream heights - Naigaon,None,P99000005331,
875,Dream heights - Naigaon,None,P99000009825,
1112,"Dreams Park Daisy - Mumdapur, Neral",None,P52000016115,
527,Dreams Rakshak - Wagholi,None,P512100000401,
564,Drushti Sapphire -Ghatkopar East,None,P51800032434,
863,DS MAX Spoorthi - Sarjapura,None,PRM/KA/RERA/1251/308/PR/290122/004660,
901,DS MAX Sukruth - Attibele Hobli,None,PRM/KA/RERA/1251/308/PR/280222/004739,
887,DSR Paradise - New Panvel,None,P52000030011,
532,Durga Imperial - Kalyan East,None,P51700007962,
542,Durga Nandana - Yelahanka,None,PRM/KA/RERA/1251/472/PR/200624/003462,
424,Durga Petals - Doddanekkundi,None,PRM/KA/RERA/1251/308/PR/171014/000571,
424,Durga Petals - Doddanekkundi,None,PRM/KA/RERA/1251/308/PR/180519/001760,
1136,Dwarka Heights Phase 1 - Pimple Saudagar,None,P52100031038,
717,Dynamic Crest - Dombivali,None,P51800001460,
1072,Dynamic Grandeur - Undri,None,P52100005396,
650,Earth & Essence Plots - Hosahalli,None,PRM/KA/RERA/1251/309/PR/200811/003538,
684,Earth & Essence Row Houses - Hosahalli,None,PRM/KA/RERA/1251/309/PR/180621/001907,
684,Earth & Essence Row Houses - Hosahalli,None,PRM/KA/RERA/1251/309/PR/200811/003538,
684,Earth & Essence Row Houses - Hosahalli,None,PRM/KA/RERA/1251/309/PR/211027/004375,
1028,East Point - Ghatkopar East ,None,P51800002979,
560,Eastern Winds - Kurla East,None,P51800007604,
806,Eastwoods - Viman Nagar,None,P52100022931,
596,Ekta Greenville -  Pathardi Nashik 			,None,P51600001224,
596,Ekta Greenville -  Pathardi Nashik 			,None,P51600001510,
596,Ekta Greenville -  Pathardi Nashik 			,None,P51600000685,
592,Ekta Parkville - Virar West,None,P99000000116,
593,Ekta Trinity - Santacruz West,None,P51800005021,
595,Ekta Tripolis - Goregaon West,None,P51800000947,
594,Ekta Verve - Khar West,None,P51800021089,
1046,Elegant Altima - Gubbalala,None,PRM/KA/RERA/1251/310/PR/190724/002717,
665,ELV KingsLand - Borewell Road,None,PRM/KA/RERA/1251/446/PR/181122/002144,
1109,Embassy Edge - Off International Airport Road - Bangalore,None,PRM/KA/RERA/1250/303/PR/180526/001825,
1104,Embassy Lake Terraces - Hebbal,None,PRM/KA/RERA/309/PR/191130/000602,
1110,Embassy Springs - Off International Airport Road - Bangalore,None,PRM/KA/RERA/1250/303/PR/171016/000633,
35,Emerald Isle II,None,P51800007280,
35,Emerald Isle II,None,P51800013052,
35,Emerald Isle II,None,P51800013214,
35,Emerald Isle II,None,P51800013504,
727,Emmay Environs Pride - Whitefield,None,PRM/KA/RERA/12510/304/PR/210323004045,
450,Emperia Icon - Navi Mumbai,None,P51700029339,
933,Empire Centrum Residential - Ambernath,None,P51700006096,
933,Empire Centrum Residential - Ambernath,None,P51700021315,
933,Empire Centrum Residential - Ambernath,None,P51700025192,
934,Empire Industrial Centrum - Ambernath,None,P51700006096,
934,Empire Industrial Centrum - Ambernath,None,P51700025202,
160,Enso Sanza - Kandivali East,None,P51800013955,
374,Eon One - Prabhadevi,None,P51900011726,
832,Esperanza - Lalbaug,None,P51900006456,
1034,Estado - Bandra East ,None,P51800007548,
1084,Estella - Wakad,None,P52100017619,
669,Eswar vanamali - Hennur Road,None,PRM/KA/RERA/1251/446/PR/200205/003236,
263,ETERNIA 2.0 - BT Kawade Road,None,P52100021956,
991,Euro Ville - Shahapur,None,P51700001003,
991,Euro Ville - Shahapur,None,P51700001090,
432,Evershine Amavi 303 - Virar West,None,P990000024780,
432,Evershine Amavi 303 - Virar West,None,P99000024753,
432,Evershine Amavi 303 - Virar West,None,P99000024860,
