Vibrant homes LLP,1313,27AAIFV8844P1Z4,AAIFV8844P,"V-55, Dr.E.Moses Road,Next To Furniturewala Showroom,, Worli,Mumbai, Mumbai, Maharashtra, 400018","V-55, Dr.E.Moses Road,Next To Furniturewala Showroom,, Worli,Mumbai, Mumbai, Maharashtra, 400018",998314,Maharashtra
Bangalore Regency Developers Pvt Ltd.,1079,29AAACB6811F1ZW,AAACB6811F,"13/2, El Shaddai, 2Nd Cross Beside Assisi Church,, Hennur Road, Bengaluru Urban,, Karnataka, 560084","13/2, El Shaddai, 2Nd Cross Beside Assisi Church,, Hennur Road, Bengaluru Urban,, Karnataka, 560084",998314,Karnataka
Cardinal Energy And Infrastructure Private Limited,1129,29AADCC7243H1ZK,AADCC7243H,"Plotno.3 And 3A, Survey No. 85 And 86,, Eoiz Industrial Area,, Sadaramangala Village,, Krishna Rajapuram Hobli,, Bengaluru Urban, Karnataka, 560066","Plotno.3 And 3A, Survey No. 85 And 86,, Eoiz Industrial Area,, Sadaramangala Village,, Krishna Rajapuram Hobli,, Bengaluru Urban, Karnataka, 560066",998314,Karnataka
Aarsh Construction,1036,27ABCFA6804F1ZQ,ABCFA6804F,"102, First Floor, Aishwarya Plaza,, Lbs Road,, Near R-Mall,, Mulund Checknaka, Mulund West, Mumbai Suburban, Maharashtra, 400080","102, First Floor, Aishwarya Plaza,, Lbs Road,, Near R-Mall,, Mulund Checknaka, Mulund West, Mumbai Suburban, Maharashtra, 400080",998314,Maharashtra
Sukhjeet Singh Parmar,932,Unregistered,ATZPP0717D,"E-403, Jay Vijay Nagar Galaxy Building, New Link Road Opp OBC Bank Vasai Nallasopara, Thane-401209","E-403, Jay Vijay Nagar Galaxy Building, New Link Road Opp OBC Bank Vasai Nallasopara, Thane-401209",998314,Maharashtra
Celebrity Prime Developer,728,Unregistered,AAHFC0731B,"#701, 30th Main Roan, BTM 2nd Stage,, Bangalore 560076","#701, 30th Main Roan, BTM 2nd Stage,, Bangalore 560076",998314,Karnataka
Vadilal Creation,1351,27AAGFV4158C1Z6,AAGFV4158C,"A12, 1St, Harihar Complex, Gajanan Petrol Pump,, Thane, Thane, Maharashtra, 421302.","A12, 1St, Harihar Complex, Gajanan Petrol Pump,, Thane, Thane, Maharashtra, 421302.",998314,Maharashtra
Allegro Mahabaleshwara Ventures Llp,1188,29ABRFA0232G1ZJ,ABRFA0232G,"A Wing 606 6Th Floor, 1, Carlton Towers, Kodihalli,, Old Airport Road, Bengaluru (Bangalore) Urban,, Karnataka, 560008.","A Wing 606 6Th Floor, 1, Carlton Towers, Kodihalli,, Old Airport Road, Bengaluru (Bangalore) Urban,, Karnataka, 560008.",998314,Karnataka
Rusela realty,638,Unregistered,BKSPC9123M,"Gurudev Complex , Opp SS Hospital ,, Bhiwandi Road, Kalher , Thane West","Gurudev Complex , Opp SS Hospital ,, Bhiwandi Road, Kalher , Thane West",998314,Maharashtra
Justo Realfintech Private Limited,1423,27AAECJ5136D1ZS,AAECJ5136D,"Part Of 603, 604, 605, Sixth Floor,, 1Aerocity, Safed Pul, Andheri East,, Mumbai, Maharashtra, 400072.","Part Of 603, 604, 605, Sixth Floor,, 1Aerocity, Safed Pul, Andheri East,, Mumbai, Maharashtra, 400072.",998314,Maharashtra
Prompt Engineering Private Limited,1232,06AAECP0734F1ZS,AAECP0734F,"LGF-F-22, Sushant Shopping Arcade,, Sushant Lok Phase -1, Gurgaon,, Gurugram, Haryana, 122002","LGF-F-22, Sushant Shopping Arcade,, Sushant Lok Phase -1, Gurgaon,, Gurugram, Haryana, 122002",998314,Haryana
Synergyshine Infra Llp,1264,06AEHFS1025E1ZG,AEHFS1025E,"Unit No. 12-005, Twelth Floor, Emaar The Palm Spring Plaza, Golf Course Road, Sector-54, Gurgaon, Gurugram, Haryana, 122002","Unit No. 12-005, Twelth Floor, Emaar The Palm Spring Plaza, Golf Course Road, Sector-54, Gurgaon, Gurugram, Haryana, 122002",998314,Haryana
MACROTECH DEVELOPERS LIMITED,1357,27AAACL1490J1ZG,AAACL1490J,"Lodha Excellus, Apollo Mills Compound, N. M. Joshi Marg, Lower Parel, Mumbai, Maharashtra, 400011","Lodha Excellus, Apollo Mills Compound, N. M. Joshi Marg, Lower Parel, Mumbai, Maharashtra, 400011",998314,Maharashtra
Desai Developers,1065,29AAKFD5517D1ZH,AAKFD5517D,"No. 90, Green Garden Layout,, Munnekolala Road,, Kundalahalli, Marathahalli, Bengaluru Urban, Karnataka, 560037","No. 90, Green Garden Layout,, Munnekolala Road,, Kundalahalli, Marathahalli, Bengaluru Urban, Karnataka, 560037",998314,Karnataka
Di Dau O Muntajae,1181,08AAQFD0290H1ZB,AAQFD0290H,"625, Jaipur Electronic Market,, Mansarovar Link Road,Gopalpura Bye Pass,, Jaipur, Rajasthan, 302018.","625, Jaipur Electronic Market,, Mansarovar Link Road,Gopalpura Bye Pass,, Jaipur, Rajasthan, 302018.",998314,Rajasthan
Divyaraj Properties LLP,1148,27AAJFD4708P1ZY,AAJFD4708P,"Roopmangal, G-52, Corner of Main Avenue & 16th Road,, Santacruz (West), Mumbai - 400054.","Roopmangal, G-52, Corner of Main Avenue & 16th Road,, Santacruz (West), Mumbai - 400054.",998314,Maharashtra
Vastu Apeksha,1112,Unregistered,AFSPB1279F,"Dreams Park, Plot no. 169/41,, Shop no. 1, Dilkap College Road, Neral 410101","Dreams Park, Plot no. 169/41,, Shop no. 1, Dilkap College Road, Neral 410101",998314,Maharashtra
Global Estate,527,Unregistered,ANDPG5443R,"Dream Rakshak, Flat No. 102,, Gadewasti, Nr BJS College, Wagholi, Pune.","Dream Rakshak, Flat No. 102,, Gadewasti, Nr BJS College, Wagholi, Pune.",998314,Maharashtra
Dsr Infra Projects,1374,29AAPFD6671B1Z7,AAPFD6671B,"Bbmp Katha No.639/645/1, Block C, 4Th Floor, Dsr Technocub, Thubarahalli Village, Varthu Hobli, Bengaluru Urban, Karnataka, 560066","Bbmp Katha No.639/645/1, Block C, 4Th Floor, Dsr Technocub, Thubarahalli Village, Varthu Hobli, Bengaluru Urban, Karnataka, 560066",998314,Karnataka
