Story Transaction Id,Top Up Dropdown,Edited Remarks
2004,Others,Recharged based on approval
2003,First Wallet Recharge,
2002,Others,Recharged based on approval
2001,First Wallet Recharge,
2000,Top-up by Developer,
1999,Others,Recharged based on approval
1998,Top-up by Developer,
1997,Top-up by Developer,
1996,Others,15k from Ganga ambar & Fernhill
1995,First Wallet Recharge,
1994,First Wallet Recharge,
1993,Others,Recharged based on approval
1992,Others,60K Transferred from Fernhill
1991,Top-up by Developer,
1990,Top-up by Developer,
1989,Others,15K transfer to Ganga Hillshire
1988,First Wallet Recharge,
1987,Top-up by Developer,
1986,Top-up by Developer,
1985,First Wallet Recharge,
1984,Others,Recharged based on approval
1983,First Wallet Recharge,
1982,First Wallet Recharge,
1981,First Wallet Recharge,
1980,First Wallet Recharge,
1979,Others,Recharged based on approval
1978,Others,25K Transferred from Lavender
1977,Others,Recharged based on approval
1976,First Wallet Recharge,
1975,First Wallet Recharge,
1974,First Wallet Recharge,
1973,Top-up by Developer,
1972,Others,Recharged based on approval
1971,First Wallet Recharge,
1970,Others,Recharged based on approval
1969,First Wallet Recharge,
1968,First Wallet Recharge,
1967,Others,Recharged based on approval
1966,First Wallet Recharge,
1965,First Wallet Recharge,
1964,Others,Recharged based on approval
1963,First Wallet Recharge,
1962,Others,Recharged based on approval
1961,First Wallet Recharge,
1960,Others,Recharged based on approval
1959,First Wallet Recharge,
1958,Others,Recharged based on approval
1957,First Wallet Recharge,
1956,Others,Recharged based on approval
1955,First Wallet Recharge,
1954,Others,Recharged based on approval
1953,First Wallet Recharge,
1952,Others,Recharged based on approval
1951,First Wallet Recharge,
1950,Others,Recharged based on approval
1949,First Wallet Recharge,
1948,First Wallet Recharge,
1947,Others,Recharged based on approval
1946,First Wallet Recharge,
1945,Others,Recharged based on approval
1944,First Wallet Recharge,
1943,Top-up by Developer,
1942,Others,Recharged based on approval
1941,First Wallet Recharge,
1940,Others,Recharged based on approval
1939,First Wallet Recharge,
1938,Others,Recharged based on approval
1937,First Wallet Recharge,
1936,Others,Recharged based on approval
1935,First Wallet Recharge,
1934,Others,Recharged based on approval
1933,First Wallet Recharge,
1932,Others,Recharged based on approval
1931,Others,Reversal
1930,Others,Difference top up - Needs to be reverse
1929,First Wallet Recharge,
1928,First Wallet Recharge,
1927,First Wallet Recharge,
1926,First Wallet Recharge,
1925,First Wallet Recharge,
1924,First Wallet Recharge,
1923,First Wallet Recharge,
1922,First Wallet Recharge,
1921,Others,Recharged based on approval
1920,First Wallet Recharge,
1919,First Wallet Recharge,
1918,Others,Recharged based on approval
1917,First Wallet Recharge,
1916,First Wallet Recharge,
1915,Others,Recharge based on approval
1914,First Wallet Recharge,
1913,Top-up by Developer,
1912,Others,Recharged based on approval
1911,First Wallet Recharge,
1910,First Wallet Recharge,
1909,Others,Difference Top Up - Needs to be reverse
1908,Others,Recharged based on approval
1907,Top-up by Developer,
1906,Others,Recharged based on approval
1905,Top-up by Developer,
1904,First Wallet Recharge,
1903,Others,5K Transferred from Hive 67
1902,Others,Reversal
1901,Others,Difference top up - Needs to be reverse
1900,Others,Recharged based on approval
1899,First Wallet Recharge,
1898,Others,5K Transfer to vora Icon
1897,Others,Difference Top Up - Needs to be reverse
1896,First Wallet Recharge,
1895,First Wallet Recharge,
1894,First Wallet Recharge,
1893,Others,Recharged based on approval
1892,First Wallet Recharge,
1891,First Wallet Recharge,
1890,First Wallet Recharge,
1889,Others,Recharged based on approval
1888,First Wallet Recharge,
1887,Others,Recharged based on approval
1886,First Wallet Recharge,
1885,First Wallet Recharge,
1884,Others,Recharged based on approval
1883,First Wallet Recharge,
1882,Others,Recharged based on approval
1881,First Wallet Recharge,
1880,Others,Recharged based on approval
1879,First Wallet Recharge,
1878,Others,Recharged based on approval
1877,First Wallet Recharge,
1876,Others,Recharged based on approval
1875,Others,Recharged based on approval
1874,First Wallet Recharge,
1873,Others,Recharged based on approval
1872,First Wallet Recharge,
1871,Others,Recharged based on approval
1870,First Wallet Recharge,
1869,Others,Recharged based on approval
1868,First Wallet Recharge,
1867,First Wallet Recharge,
1866,First Wallet Recharge,
1865,Others,Recharged based on approval
1864,First Wallet Recharge,
1863,Others,Recharged based on approval
1862,Others,25K Transferred to Ranches
1861,First Wallet Recharge,
1860,Others,25k transfer to Mahaveer Ranches
1859,Others,25K transferred to Ranches
1858,Others,Recharged based on approval
1857,First Wallet Recharge,
1856,Others,Recharged based on approval
1855,First Wallet Recharge,
1854,Others,Recharged based on approval
1853,First Wallet Recharge,
1852,Others,Recharged based on approval
1851,First Wallet Recharge,
1850,Others,Recharged based on approval
1849,First Wallet Recharge,
1848,Others,Recharged based on approval
1847,First Wallet Recharge,
1846,First Wallet Recharge,
1845,Others,Recharged based on approval
1844,First Wallet Recharge,
1843,Others,25K Transferred from Trident & Northscape
1842,Others,Recharged based on approval
1841,Others,50K Transferred from Mahaveer Celesse and Northscape
1840,Top-up by Developer,
1839,First Wallet Recharge,
1838,First Wallet Recharge,
1837,First Wallet Recharge,
1836,Others,Recharged based on approval
1835,First Wallet Recharge,
1834,Others,Recharged based on approval
1833,Others,50k Transferred to SJR Palazaa city
1832,First Wallet Recharge,
1831,Others,Recharged based on approval
1830,First Wallet Recharge,
1829,First Wallet Recharge,
1828,Others,Recharged based on approval
1827,First Wallet Recharge,
1826,Others,Recharged based on approval
1825,First Wallet Recharge,
1824,First Wallet Recharge,
1823,Others,Recharged based on approval
1822,Others,Recharged based on approval
1821,First Wallet Recharge,
1820,First Wallet Recharge,
1819,First Wallet Recharge,
1818,Others,Recharged based on approval
1817,First Wallet Recharge,
1816,First Wallet Recharge,
1815,Others,Recharged based on approval
1814,First Wallet Recharge,
1813,Others,Recharged based on approval
1812,First Wallet Recharge,
1811,First Wallet Recharge,
1810,Others,Recharged based on approval
1809,First Wallet Recharge,
1808,Others,Recharged based on approval
1807,First Wallet Recharge,
1806,First Wallet Recharge,
1805,First Wallet Recharge,
1804,Others,Recharged based on approval
1803,First Wallet Recharge,
1802,Others,Recharged based on approval
1801,Others,Recharged Based On Approval
1800,First Wallet Recharge,
1799,First Wallet Recharge,
1798,Others,Recharged based on approval
1797,Others,Recharged Based On Approval
1796,First Wallet Recharge,
1795,First Wallet Recharge,
1794,Others,Recharged based on approval
1793,First Wallet Recharge,
1792,Others,Recharged based on approval
1791,Others,Recharged based on approval
1790,First Wallet Recharge,
1789,Others,Recharged based on approval
1788,First Wallet Recharge,
1787,First Wallet Recharge,
1786,Others,400000 Outstanding
1785,Others,Recharged based on approval
1784,First Wallet Recharge,
1783,Others,Recharged based on approval
1782,First Wallet Recharge,
1781,Others,Recharged based on approval
1780,First Wallet Recharge,
1779,First Wallet Recharge,
1778,First Wallet Recharge,
1777,Others,Recharged based on approval
1776,First Wallet Recharge,
1775,Others,Adjustment for story plan amount
1774,First Wallet Recharge,
1773,Others,Recharged based on approval
1772,First Wallet Recharge,
1771,First Wallet Recharge,
1770,Others,Recharged based on approval
1769,First Wallet Recharge,
1768,Others,Recharged based on approval
1767,First Wallet Recharge,
1766,Others,Recharged Based On Approval
1765,First Wallet Recharge,
1764,First Wallet Recharge,
1763,Others,Recharged based on approval
1762,First Wallet Recharge,
1761,Others,Recharged based on approval
1760,Others,Recharged Based On Approval
1759,First Wallet Recharge,
1758,First Wallet Recharge,
1757,First Wallet Recharge,
