id,uuid,name,developer_name,city,published,sv_rewards_enabled,created_at,Youtube Link,
,9186632a-8b13-11ec-b308-0b3678875699,Sai Srushti - Kalyan West,Shakti Group,Mumbai,TRUE,Inactive,11 Feb 2022,,
,ad5987fa-8b11-11ec-a55d-a39b3a9c858b,Gajanan Icon - Kalyan East,Shakti Group,Mumbai,TRUE,Inactive,11 Feb 2022,,
,198711ba-8b06-11ec-a855-bbca164ae938,Ravinanda Aamrai - Dhayari,OM SAI DEVELOPERS (RAVINANDA GROUP),Pune,TRUE,Active,11 Feb 2022,,
,30dc30a0-8b03-11ec-a90b-2b1e6f4d56e3,Galaxy - Ravet,Gawade Realty LLP,Pune,TRUE,Inactive,11 Feb 2022,,
,875be1f8-8afb-11ec-9695-9fc50314257f,Infinity Residences - Parel East,Infinity Associates,Mumbai,TRUE,Active,11 Feb 2022,,
,a4a4119e-8d77-11ec-8e1b-8bbd3a3ea4a0,Trafalgar Tower - Ghatkopar East,Akshay Group,Mumbai,TRUE,Active,14 Feb 2022,,
,d28b0d84-8d4e-11ec-a36a-b3c79e220d8b,Sai Baba Residency - Naigaon West,Thim Group,Mumbai,TRUE,Active,14 Feb 2022,,
,c4502cb0-8e28-11ec-aaf6-2ffdcc2edaa9,Krushna Kunj - Taloja,Mr.Harish Purji & Mr.Kishorilal Sharma,Mumbai,TRUE,Inactive,15 Feb 2022,,
,176d6164-8ff6-11ec-b172-937b272e783a,Magnum Iris - Kesnand,Magnum Group,Pune,TRUE,Active,17 Feb 2022,,
,39e326e0-8ff4-11ec-856e-4ff414512eb3,9 North - Govandi East,North Property Developers llp,Mumbai,TRUE,Inactive,17 Feb 2022,,
,b580acf4-90c2-11ec-a72e-a732bd60dceb,Poonam Vista  - Virar West,Poonam Developers,Mumbai,,Inactive,18 Feb 2022,,
,24eb0bce-90bf-11ec-ad9e-1f1cf39581cc,Swastik Towers - Panvel West,Hello Homes,Mumbai,TRUE,Inactive,18 Feb 2022,https://youtu.be/AHAVdQIxHxM,
,7e15851a-90bc-11ec-af42-c7cd7c3fe1b3,Emperia Icon - Navi Mumbai,Emperia Projects,Mumbai,TRUE,Active,18 Feb 2022,,
,ace49c22-90b8-11ec-8c16-fb84f3d5e9b4,Ivy Marvel - Vile Parle East,Ivy Realtors & Valuers,Mumbai,TRUE,Active,18 Feb 2022,,
,cf529fcc-9197-11ec-aa3f-8f69d414db85,Royal Pristo - Malad East,Royal Realtors Group		,Mumbai,TRUE,Inactive,19 Feb 2022,,
,9f0d78a2-9195-11ec-ba0a-33db35fe6ce5,Aayush Gulmohar  - Chembur,M/S. Aayush Developers,Mumbai,TRUE,Active,19 Feb 2022,,
,4c2acfd8-9193-11ec-b8a0-fbe758f0d485,Aayush Aarna - Chembur,M/S. Aayush Developers,Mumbai,TRUE,Active,19 Feb 2022,,
,c8ad3ff8-9186-11ec-aa2e-1b5341806e6e,Unique Elita - Santacruz East,Shanti Developers Pvt Ltd,Mumbai,TRUE,Active,19 Feb 2022,,
,a2af75e6-9172-11ec-929e-ffb8a04950f1,Suvidha Pearl - Vileparle East,Suvidha Group,Mumbai,TRUE,Active,19 Feb 2022,https://youtu.be/5xSax0tYgLE,
,79331a50-915a-11ec-86e4-f784135fb9eb,SPM Dream City - Ambernath East,SPM Innovation LLP,Mumbai,TRUE,Inactive,19 Feb 2022,,
,1cc9e594-9152-11ec-a945-ebd333571c12,DNR Highline - Rajajinagar,Dnr Corporation,Bengaluru,TRUE,Inactive,19 Feb 2022,,
,3727b7b2-913a-11ec-9508-07db09b1f4e3,Sky High - Hinjewadi,Mittal Brothers Pvt Ltd,Pune,TRUE,Inactive,19 Feb 2022,,
,238f7110-9138-11ec-b110-b71abffb34d4,The Greater Good - Mohammadwadi,SMB Group & Ranawat Group,Pune,TRUE,Active,19 Feb 2022,,
,6af2e84c-9134-11ec-b131-2b8b559d168b,Park Abode - Dadar West,Shree Siddhivinayak Developer,Mumbai,TRUE,Active,19 Feb 2022,,
,7e37ac6c-930f-11ec-998a-2b1b77260f1a,Rohan Upavan - Off Hennur Road,Rohan Builders,Bengaluru,TRUE,Inactive,21 Feb 2022,,
,00f55636-930b-11ec-8f0c-b7298e947f5b,Flora Heights - Andheri West,Flora Group,Mumbai,TRUE,Inactive,21 Feb 2022,,
,1676b732-93f3-11ec-ab44-3f7b8b4f67b1,Auralis - The Twins - Thane,Deep Homes & Constructions Llp,Mumbai,TRUE,Active,22 Feb 2022,,
,1681c39e-957d-11ec-910d-8b07a7a2de18,Saroj Chandra Krupa - Bhyander West,S.C. Asscociates,Mumbai,TRUE,Active,24 Feb 2022,,
,8c2e5374-9572-11ec-901a-73ce786b1ee9,Rohan Ananta - Tathawade,Rohan Builders,Pune,TRUE,Inactive,24 Feb 2022,,
,3b850322-95ff-11ec-be1f-9b0c18ae8649,Indiabulls Golf City - Khopoli,Sylvanus Properties Ltd,Mumbai,TRUE,Active,25 Feb 2022,,
,0959527a-95fc-11ec-aebf-a76365f05c7d,DP Star - Bhandup West,DP Build Homes,Mumbai,TRUE,Inactive,25 Feb 2022,,
,38c30f62-96d1-11ec-aa2a-27a60b4bdb5e,Shashwat Aangan - Badlapur West,Samartha Construction,Mumbai,TRUE,Active,26 Feb 2022,https://youtu.be/NJC9YhE5mFM,
,a733bfd8-96c6-11ec-a904-23c245e4bd57,CoEvolve Northern Star,CoEvolve Estates Pvt. Ltd,Bengaluru,TRUE,Inactive,26 Feb 2022,,
,c0769122-96c2-11ec-8796-272a44b56c45,Ajmera Manhattan - Wadala East,Ajmera Realty & Infra India Ltd,Mumbai,TRUE,Active,26 Feb 2022,,
,6b5a0928-96c0-11ec-aa16-0b31b0173018,I towers Exente - Hosur Road,Kolte Patil Developers Ltd,Bengaluru,TRUE,Active,26 Feb 2022,,
,3b673a08-96be-11ec-9f63-a381ec28f7a4,Kolte Patil Raaga Ph2 - Hennue Road ,Kolte Patil Developers Ltd,Bengaluru,TRUE,Active,26 Feb 2022,,
