Story_transaction_id,Story Id,Top Up Amount,Done By,Top Up Date,Story Name,Remarks,rid
851,951,50000,Vaibhav Shinde,2022-05-31 0:00:00,Upkar Vandana Woods - Sarjapura Road,First Wallet Recharge,1
850,949,100000,Vaibhav Shinde,2022-05-30 0:00:00,Sree Adithya Lotus -  Krishnarajapura ,First Wallet Recharge,1
2140,948,3000,Abigale Cardoz ,2022-08-04 0:00:00,Urban village - Chikkajala,Others - Based on Approval,2
849,948,50000,Vaibhav Shinde,2022-05-30 0:00:00,Urban village - Chikkajala,First Wallet Recharge,1
2603,947,7200,Abigale Cardoz ,2022-09-04 0:00:00,Goodwill Breeza - Dhanori,Others - Based on Approval,3
1778,947,4800,Abigale Cardoz ,2022-08-03 0:00:00,Goodwill Breeza - Dhanori,Others - Based on Approval,2
848,947,100000,Vaibhav Shinde,2022-05-30 0:00:00,Goodwill Breeza - Dhanori,First Wallet Recharge,1
2526,946,43000,Abigale Cardoz ,2022-09-03 0:00:00,Codename Smart Choice - Ghatkopar East,Others - Based on Approval,5
1715,946,3000,Abigale Cardoz ,2022-08-03 0:00:00,Codename Smart Choice - Ghatkopar East,Others - Based on Approval,4
1377,946,-15000,Vaibhav Shinde,2022-07-07 0:00:00,Codename Smart Choice - Ghatkopar East,Others - Based on Approval,3
1078,946,30000,Vaibhav Shinde,2022-06-26 0:00:00,Codename Smart Choice - Ghatkopar East,Others - Based on Approval,2
924,946,500000,Vaibhav Shinde,2022-06-04 0:00:00,Codename Smart Choice - Ghatkopar East,First Wallet Recharge,1
2962,945,10000,Abigale Cardoz ,2022-09-06 0:00:00,Skyways 106 - Lohegaon,Others - Based on Approval,3
2071,945,11000,Abigale Cardoz ,2022-08-04 0:00:00,Skyways 106 - Lohegaon,Others - Based on Approval,2
846,945,500000,Vaibhav Shinde,2022-05-28 0:00:00,Skyways 106 - Lohegaon,First Wallet Recharge,1
2604,944,10500,Abigale Cardoz ,2022-09-04 0:00:00,Goodwill Crescent - Keshav Nagar,Others - Based on Approval,3
1779,944,6300,Abigale Cardoz ,2022-08-03 0:00:00,Goodwill Crescent - Keshav Nagar,Others - Based on Approval,2
845,944,200000,Vaibhav Shinde,2022-05-28 0:00:00,Goodwill Crescent - Keshav Nagar,First Wallet Recharge,1
2584,943,3900,Abigale Cardoz ,2022-09-04 0:00:00,Fortune Estates - Hadapsar,Others - Based on Approval,3
1761,943,1500,Abigale Cardoz ,2022-08-03 0:00:00,Fortune Estates - Hadapsar,Others - Based on Approval,2
844,943,100000,Vaibhav Shinde,2022-05-28 0:00:00,Fortune Estates - Hadapsar,First Wallet Recharge,1
2850,942,2700,Abigale Cardoz ,2022-09-06 0:00:00,RJ Lake Gardenia - Old Madras Road,Others - Based on Approval,2
843,942,50000,Vaibhav Shinde,2022-05-28 0:00:00,RJ Lake Gardenia - Old Madras Road,First Wallet Recharge,1
2629,941,24000,Abigale Cardoz ,2022-09-04 0:00:00,Heritage Urbanpod - Sarjapur Road,Others - Based on Approval,2
842,941,100000,Vaibhav Shinde,2022-05-28 0:00:00,Heritage Urbanpod - Sarjapur Road,First Wallet Recharge,1
3003,940,1500,Abigale Cardoz ,2022-09-06 0:00:00,Swashraya - Andheri West,Others - Based on Approval,6
2328,940,-1400,Vaibhav Shinde,2022-08-22 0:00:00,Swashraya - Andheri West,Others - Adjustment,5
2277,940,-44100,Vaibhav Shinde,2022-08-17 0:00:00,Swashraya - Andheri West,Other - Reversal,4
2234,940,44100,Vaibhav Shinde,2022-08-12 0:00:00,Swashraya - Andheri West,Top up By Developer - Differential amt needs to be reversal..,3
2111,940,2000,Abigale Cardoz ,2022-08-04 0:00:00,Swashraya - Andheri West,Others - Based on Approval,2
840,940,50000,Vaibhav Shinde,2022-05-28 0:00:00,Swashraya - Andheri West,First Wallet Recharge,1
838,939,50000,Vaibhav Shinde,2022-05-27 0:00:00,Parsh Elegance - Andheri West,First Wallet Recharge,1
2751,938,3600,Abigale Cardoz ,2022-09-06 0:00:00,Navanaami Lavender - Thanisandra Main Road,Others - Based on Approval,5
2323,938,-4200,Vaibhav Shinde,2022-08-22 0:00:00,Navanaami Lavender - Thanisandra Main Road,Others - Adjustment,4
1906,938,6000,Abigale Cardoz ,2022-08-03 0:00:00,Navanaami Lavender - Thanisandra Main Road,Others - Based on Approval,3
1363,938,-25000,Abigale Cardoz ,2022-07-05 0:00:00,Navanaami Lavender - Thanisandra Main Road,Other - 25K Transferred to Platina,2
836,938,100000,Vaibhav Shinde,2022-05-27 0:00:00,Navanaami Lavender - Thanisandra Main Road,First Wallet Recharge,1
1706,937,1200,Abigale Cardoz ,2022-08-03 0:00:00,Chaitanya Nishigandh - Dadar West,Others - Based on Approval,3
1291,937,4500,Abigale Cardoz ,2022-06-30 0:00:00,Chaitanya Nishigandh - Dadar West,Others - Based on Approval,2
835,937,50000,Vaibhav Shinde,2022-05-27 0:00:00,Chaitanya Nishigandh - Dadar West,First Wallet Recharge,1
2522,936,600,Abigale Cardoz ,2022-09-03 0:00:00,Chaitanya Shreyas - Andheri West,Others - Based on Approval,2
834,936,50000,Vaibhav Shinde,2022-05-27 0:00:00,Chaitanya Shreyas - Andheri West,First Wallet Recharge,1
2666,935,600,Abigale Cardoz ,2022-09-05 0:00:00,Kanakia Paris - BKC,Others - Based on Approval,2
833,935,100000,Vaibhav Shinde,2022-05-27 0:00:00,Kanakia Paris - BKC,First Wallet Recharge,1
2573,934,1200,Abigale Cardoz ,2022-09-04 0:00:00,Empire Industrial Centrum - Ambernath,Others - Based on Approval,3
1753,934,300,Abigale Cardoz ,2022-08-03 0:00:00,Empire Industrial Centrum - Ambernath,Others - Based on Approval,2
832,934,100000,Vaibhav Shinde,2022-05-27 0:00:00,Empire Industrial Centrum - Ambernath,First Wallet Recharge,1
2572,933,2400,Abigale Cardoz ,2022-09-04 0:00:00,Empire Centrum Residential - Ambernath,Others - Based on Approval,4
1752,933,1500,Abigale Cardoz ,2022-08-03 0:00:00,Empire Centrum Residential - Ambernath,Others - Based on Approval,3
1082,933,1200,Vaibhav Shinde,2022-06-26 0:00:00,Empire Centrum Residential - Ambernath,Others - Based on Approval,2
